airline,airline_id,s_airport,s_airport_id,d_airport,d_airport_id,s_name,s_city,s_country,s_ICAO,s_latitude,s_longitude,s_altitude,s_timezone,d_name,d_city,d_country,d_ICAO,d_latitude,d_longitude,d_altitude,d_timezone,distance(Km)
2B,410,AER,2965,KZN,2990,Sochi International Airport,Sochi,Russia,URSS,43.449902,39.9566,89,3,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,1506.825604458928
2B,410,ASF,2966,KZN,2990,Astrakhan Airport,Astrakhan,Russia,URWA,46.2832984924,48.0063018799,-65,4,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,1040.4383197669074
2B,410,CEK,2968,KZN,2990,Chelyabinsk Balandino Airport,Chelyabinsk,Russia,USCC,55.305801,61.5033,769,5,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,770.5085001497805
2B,410,DME,4029,KZN,2990,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,715.6493504840489
2B,410,EGO,6156,KZN,2990,Belgorod International Airport,Belgorod,Russia,UUOB,50.643798828125,36.5900993347168,735,3,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,1008.2531100895807
2B,410,LED,2948,KZN,2990,Pulkovo Airport,St. Petersburg,Russia,ULLI,59.80030059814453,30.262500762939453,78,3,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,1216.8445674824818
2B,410,SVX,2975,KZN,2990,Koltsovo Airport,Yekaterinburg,Russia,USSS,56.743099212646,60.802700042725,764,5,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,723.523203520023
2B,410,ASF,2966,MRV,2962,Astrakhan Airport,Astrakhan,Russia,URWA,46.2832984924,48.0063018799,-65,4,Mineralnyye Vody Airport,Mineralnye Vody,Russia,URMM,44.22510147094727,43.08190155029297,1054,3,448.1649087095456
3R,3545,ASF,2966,DME,4029,Astrakhan Airport,Astrakhan,Russia,URWA,46.2832984924,48.0063018799,-65,4,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,1235.2380422748795
3R,3545,EGO,6156,DME,4029,Belgorod International Airport,Belgorod,Russia,UUOB,50.643798828125,36.5900993347168,735,3,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,537.0795527366757
2B,410,KZN,2990,DME,4029,Kazan International Airport,Kazan,Russia,UWKD,55.606201171875,49.278701782227,411,3,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,715.6493504840489
2B,410,NBC,6969,DME,4029,Begishevo Airport,Nizhnekamsk,Russia,UWKE,55.564701080322266,52.09249877929688,643,3,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,892.3827877543463
2B,410,TGK,\N,DME,4029,Taganrog Yuzhny Airport,Taganrog,Russia,URRT,47.1983333,38.8491667,117,3,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,915.2891395770904
2B,410,UUA,6160,DME,4029,Bugulma Airport,Bugulma,Russia,UWKB,54.63999938964844,52.801700592041016,991,3,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,951.4321982829719
3R,3545,BHK,2980,DME,4029,Bukhara Airport,Bukhara,Uzbekistan,UTSB,39.775001525878906,64.4832992553711,751,5,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,2615.6552278795057
3R,3545,FEG,6149,DME,4029,Fergana International Airport,Fergana,Uzbekistan,UTKF,40.3587989807,71.7450027466,1980,5,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,2982.361522753396
3R,3545,KSQ,6153,DME,4029,Karshi Khanabad Airport,Khanabad,Uzbekistan,UTSL,38.8335990906,65.9215011597,1365,5,Domodedovo International Airport,Moscow,Russia,UUDD,55.40879821777344,37.90629959106445,588,3,2775.0664897619654
